date,0,1,2,3,4,5,6,7,8,9
2017/8/7,1097127.21,1104219.816,1104184.915,1105136.785,1088211.421,1079888.493,1122039.607,1096433.87,1091872.037,1098336.749
2017/8/8,1085628.521,1092422.085,1093312.74,1092425.216,1075964.046,1067858.807,1110091.562,1084249.443,1080181.818,1086569.771
2017/8/9,1074116.256,1080952.211,1081932.937,1081117.054,1065480.866,1058728.014,1099914.727,1074796.284,1070033.172,1077924.115
2017/8/10,1060393.638,1066921.329,1069905.335,1067455.461,1051736.906,1045225.773,1084879.197,1061296.406,1055751.313,1063800.932
2017/8/11,1063418.465,1068195.172,1070925.67,1069708.913,1054019.441,1047527.049,1087725.596,1062703.436,1057225.971,1065743.876
2017/8/14,1072109.563,1075919.681,1077944.745,1076807.955,1061607.649,1055440.521,1096009.762,1069664.205,1065209.06,1074546.098
2017/8/15,1071097.449,1075897.831,1076642.821,1075770.592,1060600.361,1054263.71,1095178.72,1068458.784,1064434.538,1073971.961
2017/8/16,1071484.329,1076660.782,1077095.401,1076533.918,1061372.765,1055022.296,1095418.198,1068923.824,1064699.63,1074673.485
2017/8/17,1056812.384,1062177.033,1063623.381,1061888.426,1046897.072,1040722.895,1080515.798,1053364.966,1050775.3,1060022.4
2017/8/18,1052878.095,1058233.081,1060013.539,1057902.587,1043873.154,1037393.531,1076555.946,1049754.36,1046480.084,1056130.475
2017/8/21,1054927.847,1060012.453,1061113.515,1059721.024,1046414.351,1039145.902,1078499.238,1053075.563,1048336.937,1058075.297
2017/8/22,1063565.142,1068815.408,1069568.794,1068086.006,1054731.154,1047685.669,1087012.609,1061441.993,1056940.956,1066789.832
2017/8/23,1067369.835,1072126.128,1072999.556,1070239.74,1058275.645,1051175.983,1088482.433,1062815.932,1059930.481,1070212.2
2017/8/24,1070117.23,1075979.461,1078038.938,1074927.569,1062851.849,1056216.79,1093254.914,1067124.371,1063389.29,1075066.263
2017/8/25,1073442.099,1079460.738,1081814.662,1079480.24,1066780.674,1059991.843,1097032.195,1071499.232,1066829.96,1079063.831
2017/8/28,1076007.756,1081819.746,1082061.789,1079378.871,1069264.922,1062421.488,1098190.516,1073895.787,1068358.742,1081611.948
2017/8/29,1077291.346,1082719.163,1083139.705,1080387.327,1069222.833,1063479.839,1097409.449,1075183.855,1069385.49,1081267.861
2017/8/30,1079308.092,1083709.366,1085121.845,1082394.539,1070866.601,1064571.44,1099545.056,1077078.926,1070054.05,1083012.906
